map, vertices, edges, cpp, cython_bfs, cython_full, kotlin, kotlin_jit, kotlin_jit_5, python, python3
randomSparse.txt, 86, 123, 1.00, 2.61, 0.95, 39.11, 1.91, 12.74, 20.30, 25.69
randomMedium.txt, 97, 187, 1.00, 2.30, 0.98, 34.27, 2.12, 10.36, 19.90, 27.48
tube.txt, 301, 386, 1.00, 3.05, 1.04, 21.55, 1.76, 2.43, 25.73, 32.49
boston-sparse.txt, 488, 945, 1.00, 2.73, 1.07, 16.81, 1.65, 1.91, 24.27, 27.77
edinburgh-sparse.txt, 961, 1751, 1.00, 2.95, 1.15, 4.07, 1.67, 2.42, 22.07, 27.79
oxford-center-sparse.txt, 1425, 2020, 1.00, 3.10, 1.07, 2.76, 1.64, 2.07, 20.43, 25.96
nara-sparse.txt, 1560, 2197, 1.00, 3.25, 1.11, 2.92, 1.86, 2.33, 23.01, 28.32
gothenburg-sparse.txt, 1175, 2234, 1.00, 3.42, 1.16, 4.44, 1.99, 2.44, 24.82, 30.92
icfp-coauthors-pj.txt, 892, 3425, 1.00, 2.91, 1.07, 10.32, 2.10, 2.83, 24.35, 33.69
van-city-sparse.txt, 1986, 3601, 1.00, 3.14, 1.12, 3.01, 2.01, 1.92, 22.30, 27.81
oxford2-sparse-2.txt, 2389, 3632, 1.00, 3.13, 1.15, 2.83, 2.02, 2.08, 22.31, 28.20
edinburgh-10000.txt, 7357, 10000, 1.00, 3.15, 1.19, 6.20, 2.15, 2.27, 23.57, 28.69
oxford-10000.txt, 6658, 10000, 1.00, 3.03, 1.19, 2.55, 2.15, 2.18, 20.84, 26.16
